label,timestamp,trace_time,desired_total,running_total,gap
20x,1788049573,600,32,32,0
20x,1788049603,1200,49,49,0
20x,1788049633,1800,69,69,0
20x,1788049663,2400,67,67,0
20x,1788049693,3000,112,112,0
20x,1788049723,3600,71,80,9
20x,1788049753,4200,217,220,3
20x,1788049783,4800,71,118,47
20x,1788049813,5400,73,119,46
20x,1788049843,6000,67,67,0
20x,1788049873,6600,64,64,0
20x,1788049903,7200,61,61,0
20x,1788049933,7800,51,52,1
20x,1788049963,8400,37,40,3
20x,1788049993,9000,26,33,7
20x,1788050023,9600,172,172,0
20x,1788050053,10200,87,118,31
20x,1788050083,10800,124,124,0
20x,1788050113,11400,152,152,0
20x,1788050143,12000,94,108,14
20x,1788050173,12600,102,103,1
20x,1788050203,13200,76,76,0
20x,1788050233,13800,45,48,3
20x,1788050263,14400,17,23,6
20x,1788050293,15000,265,266,1
20x,1788050323,15600,83,208,125
20x,1788050353,16200,115,195,80
20x,1788050383,16800,108,108,0
20x,1788050413,17400,67,82,15
15x,1788057937,450,32,32,0
15x,1788057967,900,41,41,0
15x,1788057997,1350,58,58,0
15x,1788058027,1800,69,69,0
15x,1788058057,2250,67,67,0
15x,1788058087,2700,88,88,0
15x,1788058117,3150,89,89,0
15x,1788058147,3600,71,76,5
15x,1788058177,4050,217,219,2
15x,1788058207,4500,192,192,0
15x,1788058237,4950,73,137,64
15x,1788058267,5400,73,100,27
15x,1788058297,5850,67,67,0
15x,1788058327,6300,66,66,0
15x,1788058357,6750,62,63,1
15x,1788058387,7200,61,62,1
15x,1788058417,7650,51,51,0
15x,1788058447,8100,45,46,1
15x,1788058477,8550,32,34,2
15x,1788058507,9000,26,28,2
15x,1788058537,9450,172,172,0
15x,1788058567,9900,87,118,31
15x,1788058597,10350,92,124,32
15x,1788058627,10800,124,124,0
15x,1788058657,11250,152,152,0
15x,1788058687,11700,114,120,6
15x,1788058717,12150,105,111,6
15x,1788058747,12600,102,102,0
15x,1788058777,13050,76,77,1
15x,1788058807,13500,62,63,1
15x,1788058837,13950,32,38,6
15x,1788058867,14400,17,22,5
15x,1788058897,14850,265,266,1
15x,1788058927,15300,87,190,103
15x,1788058957,15750,84,189,105
15x,1788058987,16200,115,115,0
15x,1788059017,16650,108,109,1
15x,1788059047,17100,91,98,7
15x,1788059077,17550,48,51,3
10x,1788093410,300,25,25,0
10x,1788093440,600,32,32,0
10x,1788093470,900,41,41,0
10x,1788093500,1200,49,49,0
10x,1788093530,1500,58,58,0
10x,1788093560,1800,69,69,0
10x,1788093590,2100,65,65,0
10x,1788093620,2400,67,67,0
10x,1788093650,2700,88,88,0
10x,1788093680,3000,112,112,0
10x,1788093710,3300,89,92,3
10x,1788093740,3600,71,81,10
10x,1788093770,3900,179,125,-54
10x,1788093800,4200,217,217,0
10x,1788093830,4500,192,192,0
10x,1788093860,4800,71,151,80
10x,1788093890,5100,73,106,33
10x,1788093920,5400,73,76,3
10x,1788093950,5700,67,67,0
10x,1788093980,6000,67,67,0
10x,1788094010,6300,66,66,0
10x,1788094040,6600,64,64,0
10x,1788094070,6900,62,62,0
10x,1788094100,7200,61,61,0
10x,1788094130,7500,54,54,0
10x,1788094160,7800,51,51,0
10x,1788094190,8100,45,45,0
10x,1788094220,8400,37,37,0
10x,1788094250,8700,32,32,0
10x,1788094280,9000,26,26,0
10x,1788094310,9300,129,82,-47
10x,1788094340,9600,172,172,0
10x,1788094370,9900,87,128,41
10x,1788094400,10200,87,116,29
10x,1788094430,10500,92,92,0
10x,1788094460,10800,124,124,0
10x,1788094490,11100,158,158,0
10x,1788094520,11400,152,152,0
10x,1788094550,11700,114,120,6
10x,1788094580,12000,94,107,13
10x,1788094610,12300,105,103,-2
10x,1788094640,12600,102,102,0
10x,1788094670,12900,89,89,0
10x,1788094700,13200,76,76,0
10x,1788094730,13500,62,62,0
10x,1788094760,13800,45,51,6
10x,1788094790,14100,32,37,5
10x,1788094820,14400,17,21,4
10x,1788094850,14700,201,76,-125
10x,1788094880,15000,265,261,-4
10x,1788094910,15300,87,219,132
10x,1788094940,15600,83,179,96
10x,1788094970,15900,84,84,0
10x,1788095000,16200,115,115,0
10x,1788095030,16500,138,138,0
10x,1788095060,16800,108,110,2
10x,1788095090,17100,91,100,9
10x,1788095120,17400,67,69,2
10x,1788095150,17700,48,62,14
5x,1788117649,150,13,13,0
5x,1788117679,300,25,25,0
5x,1788117709,450,25,25,0
5x,1788117739,600,32,32,0
5x,1788117769,750,32,32,0
5x,1788117799,900,41,41,0
5x,1788117829,1050,41,41,0
5x,1788117859,1200,49,49,0
5x,1788117889,1350,49,49,0
5x,1788117919,1500,58,58,0
5x,1788117949,1650,58,58,0
5x,1788117979,1800,69,69,0
5x,1788118009,1950,69,69,0
5x,1788118039,2100,65,65,0
5x,1788118069,2250,65,65,0
5x,1788118099,2400,67,67,0
5x,1788118129,2550,67,67,0
5x,1788118159,2700,88,88,0
5x,1788118189,2850,88,88,0
5x,1788118219,3000,112,112,0
5x,1788118249,3150,112,112,0
5x,1788118279,3300,89,89,0
5x,1788118309,3450,89,89,0
5x,1788118339,3600,71,71,0
5x,1788118369,3750,71,71,0
5x,1788118399,3900,179,121,-58
5x,1788118429,4050,179,179,0
5x,1788118459,4200,217,217,0
5x,1788118489,4350,217,217,0
5x,1788118519,4500,192,192,0
5x,1788118549,4650,192,192,0
5x,1788118579,4800,71,153,82
5x,1788118609,4950,71,132,61
5x,1788118639,5100,73,80,7
5x,1788118669,5250,73,73,0
5x,1788118699,5400,73,73,0
5x,1788118729,5550,73,73,0
5x,1788118759,5700,67,67,0
5x,1788118789,5850,67,67,0
5x,1788118819,6000,67,67,0
5x,1788118849,6150,67,67,0
5x,1788118879,6300,66,66,0
5x,1788118909,6450,66,66,0
5x,1788118939,6600,64,64,0
5x,1788118969,6750,64,64,0
5x,1788118999,6900,62,62,0
5x,1788119029,7050,62,62,0
5x,1788119059,7200,61,61,0
5x,1788119089,7350,61,61,0
5x,1788119119,7500,54,54,0
5x,1788119149,7650,54,54,0
5x,1788119179,7800,51,51,0
5x,1788119209,7950,51,51,0
5x,1788119239,8100,45,45,0
5x,1788119269,8250,45,45,0
5x,1788119299,8400,37,37,0
5x,1788119329,8550,37,37,0
5x,1788119359,8700,32,33,1
5x,1788119389,8850,32,33,1
5x,1788119419,9000,26,26,0
5x,1788119449,9150,26,26,0
5x,1788119479,9300,129,85,-44
5x,1788119509,9450,129,129,0
5x,1788119539,9600,172,172,0
5x,1788119569,9750,172,172,0
5x,1788119599,9900,87,120,33
5x,1788119629,10050,87,112,25
5x,1788119659,10200,87,87,0
5x,1788119689,10350,87,87,0
5x,1788119719,10500,92,92,0
5x,1788119749,10650,92,92,0
5x,1788119779,10800,124,124,0
5x,1788119809,10950,124,124,0
5x,1788119839,11100,158,158,0
5x,1788119869,11250,158,158,0
5x,1788119899,11400,152,152,0
5x,1788119929,11550,152,152,0
5x,1788119959,11700,114,122,8
5x,1788119989,11850,114,122,8
5x,1788120019,12000,94,95,1
5x,1788120049,12150,94,95,1
5x,1788120079,12300,105,105,0
5x,1788120109,12450,105,105,0
5x,1788120139,12600,102,102,0
5x,1788120169,12750,102,102,0
5x,1788120199,12900,89,89,0
5x,1788120229,13050,89,89,0
5x,1788120259,13200,76,76,0
5x,1788120289,13350,76,76,0
5x,1788120319,13500,62,63,1
5x,1788120349,13650,62,63,1
5x,1788120379,13800,45,45,0
5x,1788120409,13950,45,45,0
5x,1788120439,14100,32,32,0
5x,1788120469,14250,32,32,0
5x,1788120499,14400,17,19,2
5x,1788120529,14550,17,19,2
5x,1788120559,14700,201,80,-121
5x,1788120589,14850,201,201,0
5x,1788120619,15000,265,262,-3
5x,1788120649,15150,265,265,0
5x,1788120679,15300,87,222,135
5x,1788120709,15450,87,196,109
5x,1788120739,15600,83,129,46
5x,1788120769,15750,83,83,0
5x,1788120799,15900,84,84,0
5x,1788120829,16050,84,84,0
5x,1788120859,16200,115,115,0
5x,1788120889,16350,115,115,0
5x,1788120919,16500,138,138,0
5x,1788120949,16650,138,138,0
5x,1788120979,16800,108,114,6
5x,1788121009,16950,108,114,6
5x,1788121039,17100,91,93,2
5x,1788121069,17250,91,93,2
5x,1788121099,17400,67,68,1
5x,1788121129,17550,67,68,1
5x,1788121159,17700,48,52,4
5x,1788121189,17850,48,52,4
1x,1788139262,30,13,13,0
1x,1788139292,60,13,13,0
1x,1788139322,90,13,13,0
1x,1788139352,120,13,13,0
1x,1788139382,150,13,13,0
1x,1788139412,180,13,13,0
1x,1788139442,210,13,13,0
1x,1788139472,240,13,13,0
1x,1788139502,270,13,13,0
1x,1788139532,300,25,25,0
1x,1788139562,330,25,25,0
1x,1788139592,360,25,25,0
1x,1788139622,390,25,25,0
1x,1788139652,420,25,25,0
1x,1788139682,450,25,25,0
1x,1788139712,480,25,25,0
1x,1788139742,510,25,25,0
1x,1788139772,540,25,25,0
1x,1788139802,570,25,25,0
1x,1788139832,600,32,32,0
1x,1788139862,630,32,32,0
1x,1788139892,660,32,32,0
1x,1788139922,690,32,32,0
1x,1788139952,720,32,32,0
1x,1788139982,750,32,32,0
1x,1788140012,780,32,32,0
1x,1788140042,810,32,32,0
1x,1788140072,840,32,32,0
1x,1788140102,870,32,32,0
1x,1788140132,900,41,41,0
1x,1788140162,930,41,41,0
1x,1788140192,960,41,41,0
1x,1788140222,990,41,41,0
1x,1788140252,1020,41,41,0
1x,1788140282,1050,41,41,0
1x,1788140312,1080,41,41,0
1x,1788140342,1110,41,41,0
1x,1788140372,1140,41,41,0
1x,1788140402,1170,41,41,0
1x,1788140432,1200,49,49,0
1x,1788140462,1230,49,49,0
1x,1788140492,1260,49,49,0
1x,1788140522,1290,49,49,0
1x,1788140552,1320,49,49,0
1x,1788140582,1350,49,49,0
1x,1788140612,1380,49,49,0
1x,1788140642,1410,49,49,0
1x,1788140672,1440,49,49,0
1x,1788140702,1470,49,49,0
1x,1788140732,1500,58,58,0
1x,1788140762,1530,58,58,0
1x,1788140792,1560,58,58,0
1x,1788140822,1590,58,58,0
1x,1788140852,1620,58,58,0
1x,1788140882,1650,58,58,0
1x,1788140912,1680,58,58,0
1x,1788140942,1710,58,58,0
1x,1788140972,1740,58,58,0
1x,1788141002,1770,58,58,0
1x,1788141032,1800,69,69,0
1x,1788141062,1830,69,69,0
1x,1788141092,1860,69,69,0
1x,1788141122,1890,69,69,0
1x,1788141152,1920,69,69,0
1x,1788141182,1950,69,69,0
1x,1788141212,1980,69,69,0
1x,1788141242,2010,69,69,0
1x,1788141272,2040,69,69,0
1x,1788141302,2070,69,69,0
1x,1788141332,2100,65,65,0
1x,1788141362,2130,65,65,0
1x,1788141392,2160,65,65,0
1x,1788141422,2190,65,65,0
1x,1788141452,2220,65,65,0
1x,1788141482,2250,65,65,0
1x,1788141512,2280,65,65,0
1x,1788141542,2310,65,65,0
1x,1788141572,2340,65,65,0
1x,1788141602,2370,65,65,0
1x,1788141632,2400,67,67,0
1x,1788141662,2430,67,67,0
1x,1788141692,2460,67,67,0
1x,1788141722,2490,67,67,0
1x,1788141752,2520,67,67,0
1x,1788141782,2550,67,67,0
1x,1788141812,2580,67,67,0
1x,1788141842,2610,67,67,0
1x,1788141872,2640,67,67,0
1x,1788141902,2670,67,67,0
1x,1788141932,2700,88,88,0
1x,1788141962,2730,88,88,0
1x,1788141992,2760,88,88,0
1x,1788142022,2790,88,88,0
1x,1788142052,2820,88,88,0
1x,1788142082,2850,88,88,0
1x,1788142112,2880,88,88,0
1x,1788142142,2910,88,88,0
1x,1788142172,2940,88,88,0
1x,1788142202,2970,88,88,0
1x,1788142232,3000,112,112,0
1x,1788142262,3030,112,112,0
1x,1788142292,3060,112,112,0
1x,1788142322,3090,112,112,0
1x,1788142352,3120,112,112,0
1x,1788142382,3150,112,112,0
1x,1788142412,3180,112,112,0
1x,1788142442,3210,112,112,0
1x,1788142472,3240,112,112,0
1x,1788142502,3270,112,112,0
1x,1788142532,3300,89,89,0
1x,1788142562,3330,89,89,0
1x,1788142592,3360,89,89,0
1x,1788142622,3390,89,89,0
1x,1788142652,3420,89,89,0
1x,1788142682,3450,89,89,0
1x,1788142712,3480,89,89,0
1x,1788142742,3510,89,89,0
1x,1788142772,3540,89,89,0
1x,1788142802,3570,89,89,0
1x,1788142832,3600,71,76,5
1x,1788142862,3630,71,76,5
1x,1788142892,3660,71,71,0
1x,1788142922,3690,71,71,0
1x,1788142952,3720,71,71,0
1x,1788142982,3750,71,71,0
1x,1788143012,3780,71,71,0
1x,1788143042,3810,71,71,0
1x,1788143072,3840,71,71,0
1x,1788143102,3870,71,71,0
1x,1788143132,3900,179,179,0
1x,1788143162,3930,179,179,0
1x,1788143192,3960,179,179,0
1x,1788143222,3990,179,179,0
1x,1788143252,4020,179,179,0
1x,1788143282,4050,179,179,0
1x,1788143312,4080,179,179,0
1x,1788143342,4110,179,179,0
1x,1788143372,4140,179,179,0
1x,1788143402,4170,179,179,0
1x,1788143432,4200,217,217,0
1x,1788143462,4230,217,217,0
1x,1788143492,4260,217,217,0
1x,1788143522,4290,217,217,0
1x,1788143552,4320,217,217,0
1x,1788143582,4350,217,217,0
1x,1788143612,4380,217,217,0
1x,1788143642,4410,217,217,0
