label,spike,window_trace_s,gt_peak_pods,samples_in_window,observed_desired_peak,observed_running_peak,capture_pct
20x,1,3900-4500,217,3,217,220,101.382488479263
20x,2,9300-9600,172,2,172,172,100
20x,3,14700-15000,265,2,265,266,100.377358490566
15x,1,3900-4500,217,3,217,219,100.921658986175
15x,2,9300-9600,172,3,172,172,100
15x,3,14700-15000,265,3,265,266,100.377358490566
10x,1,3900-4500,217,5,217,217,100
10x,2,9300-9600,172,4,172,172,100
10x,3,14700-15000,265,4,265,261,98.4905660377358
5x,1,3900-4500,217,9,217,217,100
5x,2,9300-9600,172,7,172,172,100
5x,3,14700-15000,265,7,265,265,100
1x,1,3900-4500,217,41,217,217,100
1x,2,9300-9600,172,31,172,172,100
1x,3,14700-15000,265,31,265,265,100
